CategoryA,CategoryB,CategoryC,CategoryD
Agriculture,1,Applied Water,AG1
Agriculture,10a,Return Flow to Salt Sink,AG10A
Agriculture,10b,Return Flow for Delta Outflow,AG10B
Agriculture,11a,Return Flow to Developed Supply (Other DAUCO within PA),AG11A
Agriculture,11b,Return Flow to Developed Supply (Other PA),AG11B
Agriculture,11c,Return Flow to Developed Supply (Other Region),AG11C
Agriculture,11d,Return Flow to Carryover Storage for Next Water Year within DAU,AG11D
Agriculture,12,Return Flows Evaporation and Evapotranspiration,AG12
Agriculture,13,Applied Water Use,AWUAG
Agriculture,14,Net Water Use (Applied Water - Reuse),NW1AG
Agriculture,15,Net Water Use (ETAW + Flow/Salt Sink + Outflow),NW2AG
Agriculture,16,Depletion,DEPAG
Agriculture,17,Conveyance Evaporation and ETAW,AG17
Agriculture,18a,Conveyance Return Flow to Oregon,AG18A
Agriculture,18b,Conveyance Return Flow to Nevada,AG18B
Agriculture,18c,Conveyance Return Flow to Mexico,AG18C
Agriculture,18d,Conveyance Deep Percolation to Oregon,AG18D
Agriculture,18e,Conveyance Deep Percolation to Nevada,AG18E
Agriculture,18f,Conveyance Deep Percolation to Mexico,AG18F
Agriculture,19a,Conveyance Return Flows to Salt Sink,AG19A
Agriculture,19b,Conveyance Return Flow for Delta Outflow,AG19B
Agriculture,2,Applied Water - Groundwater Recharge,AG2
Agriculture,20a,Conveyance Return Flow to Developed Supply (Other DAUCO within PA),AG20A
Agriculture,20b,Conveyance Return Flow to Developed Supply (Other PA),AG20B
Agriculture,20c,Conveyance Return Flow to Developed Supply (Other Region),AG20C
Agriculture,21,Conveyance Seepage,AG21
Agriculture,22,Conveyance Deep Percolation,AG22
Agriculture,23,Conveyance Deep Percolation to Salt Sink,AG23
Agriculture,24,Conveyance Applied Water Use,AWUAGC
Agriculture,25,Conveyance Net Water Use (Applied Water - Reuse),NW1AGC
Agriculture,26,Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow),NW2AGC
Agriculture,27,Conveyance Depletion,DEPAGC
Agriculture,3,Evapotranspiration of Applied Water,AG3
Agriculture,4,Evaporation and Evapotranspiration of Groundwater Recharge,AG4
Agriculture,5,Deep Percolation of Applied Water,AG5
Agriculture,6,Deep Percolation of Applied Water to Salt Sink,AG6
Agriculture,7,Deep Percolation of Groundwater Recharge,AG7
Agriculture,8,Reuse of Return Flows within DAUCO,AG8
Agriculture,9a,Return Flow to Oregon,AG9A
Agriculture,9b,Return Flow to Nevada,AG9B
Agriculture,9c,Return Flow to Mexico,AG9C
Agriculture,9d,Deep Percolation to Oregon,AG9D
Agriculture,9e,Deep Percolation to Nevada,AG9E
Agriculture,9f,Deep Percolation to Mexico,AG9F
Instream Flow Requirements,1,Applied Water,IFR1
Instream Flow Requirements,2,Reuse of Return Flows within DAUCO,IFR2
Instream Flow Requirements,3a,Return Flow to Salt Sink,IFR3A
Instream Flow Requirements,3b,"Return Flow to Oregon - Mexico - Nevada",IFR3B
Instream Flow Requirements,3c,Return Flow for Delta Outflow,IFR3C
Instream Flow Requirements,4a,Return Flow to Developed Supply (Other DAUCO within PA),IFR4A
Instream Flow Requirements,4b,Return Flow to Developed Supply (Other PA),IFR4B
Instream Flow Requirements,4c,Return Flow to Developed Supply (Other Region),IFR4C
Instream Flow Requirements,5,Applied Water Use,AWUIFR
Instream Flow Requirements,6,Net Water Use (Applied Water - Reuse),NW1IFR
Instream Flow Requirements,7,Net Water Use (ETAW + Flow/Salt Sink + Outflow),NW2IFR
Instream Flow Requirements,8,Depletion,DEPIFR
Managed Wetlands,1,Applied Water,MW1
Managed Wetlands,10,Return Flows Evaporation and Evapotranspiration,MW10
Managed Wetlands,11,Applied Water Use,AWUMW
Managed Wetlands,12,Net Water Use (Applied Water - Reuse),NW1MW
Managed Wetlands,13,Net Water Use (ETAW + Flow/Salt Sink + Outflow),NW2MW
Managed Wetlands,14,Depletion,DEPMW
Managed Wetlands,15,Conveyance Evaporation and ETAW,MW15
Managed Wetlands,16a,Conveyance Return Flow to Oregon,MW16A
Managed Wetlands,16b,Conveyance Return Flow to Nevada,MW16B
Managed Wetlands,16c,Conveyance Return Flow to Mexico,MW16C
Managed Wetlands,16d,Conveyance Deep Percolation to Oregon,MW16D
Managed Wetlands,16e,Conveyance Deep Percolation to Nevada,MW16E
Managed Wetlands,16f,Conveyance Deep Percolation to Mexico,MW16F
Managed Wetlands,17a,Conveyance Return Flows to Salt Sink,MW17A
Managed Wetlands,17b,Conveyance Return Flow for Delta Outflow,MW17B
Managed Wetlands,18a,Conveyance Return Flow to Developed Supply (Other DAUCO within PA),MW18A
Managed Wetlands,18b,Conveyance Return Flow to Developed Supply (Other PA),MW18B
Managed Wetlands,18c,Conveyance Return Flow to Developed Supply (Other Region),MW18C
Managed Wetlands,19,Conveyance Seepage,MW19
Managed Wetlands,2,Evapotranspiration of Applied Water,MW2
Managed Wetlands,20,Conveyance Deep Percolation,MW20
Managed Wetlands,21,Conveyance Deep Percolation to Salt Sink,MW21
Managed Wetlands,22,Conveyance Applied Water Use,AWUMWC
Managed Wetlands,23,Conveyance Net Water Use (Applied Water - Reuse),NW1MWC
Managed Wetlands,24,Conveyance Net Water Use (ETAW + Flow/Salt Sink + Outflow),NW2MWC
Managed Wetlands,25,Conveyance Depletion,DEPMWC
Managed Wetlands,3,Deep Percolation of Applied Water,MW3
Managed Wetlands,4,Deep Percolation of Applied Water to Salt Sink,MW4
Managed Wetlands,5,Deep Percolation of Groundwater Recharge,MW5
Managed Wetlands,6,Reuse of Return Flows within DAUCO,MW6
Managed Wetlands,7a,Return Flow to Oregon,MW7A
Managed Wetlands,7b,Return Flow to Nevada,MW7B
Managed Wetlands,7c,Return Flow to Mexico,MW7C
Managed Wetlands,7d,Deep Percolation to Oregon,MW7D
Managed Wetlands,7e,Deep Percolation to Nevada,MW7E
Managed Wetlands,7f,Deep Percolation to Mexico,MW7F
Managed Wetlands,8a,Return Flow to Salt Sink,MW8A
Managed Wetlands,8b,Return Flow for Delta Outflow,MW8B
Managed Wetlands,9a,Return Flow to Developed Supply (Other DAUCO within PA),MW9A
Managed Wetlands,9b,Return Flow to Developed Supply (Other PA),MW9B
Managed Wetlands,9c,Return Flow to Developed Supply (Other Region),MW9C
Managed Wetlands,9d,Return Flow to Carryover Storage for Next Water Year within DAU,MW9D
Required Delta Outflow,1,Applied Water,RDO1
Required Delta Outflow,2,Return Flow for Delta Outflow,RDO2
Required Delta Outflow,3,Applied Water Use,AWURDO
Required Delta Outflow,4,Net Water Use (Applied Water - Reuse),NW1RDO
Required Delta Outflow,5,Net Water Use (ETAW + Flow/Salt Sink + Outflow),NW2RDO
