Resource description,Selected spatial data layers sourced from CORDIO Marine Spatial Data for the Western Indian Ocean-Archive. ,,,,
Data Source-site link,https://maspawio.net/,,,,
Date:,7-Aug-21,,,,
Use,Linking to Ocean InfoHub portal,,,,
Shared by:,James Mbugua CORDIO GIS and IT Manager jmbugua@cordioea.net,,,,
Shared with,Douglas Fils,,,,
,,,,,
Resource name,Data type,Coverage,Designation,Link address,dclink
locally managed marine areas Kenya,Point vector,National,Kenya,https://maspawio.net/layers/geonode%3Alocally_managed_marine_areas_kenya,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=3046b5fc-18e0-11eb-894f-0a735f7a740c
Sea Level Rise vulnearbility,Raster data,Sub-national,Kenya-Mombasa drfils@gmail.com,https://maspawio.net/layers/geonode%3Akwale_kilifi_mombasa_slr_vulnearbility,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=5783da64-906e-11ea-a8da-0a735f7a740c
kwale Marine depth contours,Vector lines,Sub-national,Kenya-Kwale,https://maspawio.net/layers/geonode%3Akwale_marine_depth_contours,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=5118373a-e428-11e9-90ff-0a735f7a740c
kwale bathymetry,Raster data,Sub-national,Kenya-Kwale,https://maspawio.net/layers/geonode%3Akwale_bathymetry,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=4e24838a-e428-11e9-be34-0a735f7a740c
Fishing intensity Kipini,Raster data,Sub-national,Kenya-Tana River,https://maspawio.net/layers/geonode%3Akipini_fishing_intensity,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=028adc56-c413-11e9-8a24-0a735f7a740c
Fishing intensity Gazi,Raster data,Sub-national,Kenya-Kwale,https://maspawio.net/layers/geonode%3Agazi_fishing_intensity,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=0030a210-c413-11e9-ac48-0a735f7a740c
Fishing intensity Vanga Jimbo,Raster data,Sub-national,Kenya-Kwale,https://maspawio.net/layers/geonode%3Avanga_jimbo__fishing_intensity,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=047cac4c-c413-11e9-95bc-0a735f7a740c
Kenya continental shelf,Vector polygon,National,Kenya,https://maspawio.net/layers/geonode%3Akenya_continental_shelf_2019,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=1c83137a-6bf4-11e9-a535-0a735f7a740c
Digital Elevation Model,Raster data,Sub-national,Kenya-Kwale,https://maspawio.net/layers/geonode%3Aekla_dem_kwale_kilifi_mombasa,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=dc7981fa-84e6-11e8-b3cd-0a735f7a740c
WIO Urban areas 2000,Vector polygon,Regional,WIO,https://maspawio.net/layers/geonode%3Awio_urban_areas_2000,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=d1435a3c-238d-11e8-b48f-0a735f7a740c
WIO Urban areas 2005,Vector polygon,Regional,WIO,https://maspawio.net/layers/geonode%3Awio_urban_areas_2005,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=d418e0d8-238d-11e8-915c-0a735f7a740c
WIO Urban areas 2010,Vector polygon,Regional,WIO,https://maspawio.net/layers/geonode%3Awio_urban_areas_2010,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=d5910f8a-238d-11e8-b37c-0a735f7a740c
WIO Urban areas 2015,Vector polygon,Regional,WIO,https://maspawio.net/layers/geonode%3Awio_urban_areas_2015,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=d760d296-238d-11e8-939e-0a735f7a740c
WIO Urban areas 1995,Vector polygon,Regional,WIO,https://maspawio.net/layers/geonode%3Awio_urban_areas_1995,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=cc619e62-238c-11e8-bfc4-0a735f7a740c
WIO high resolution coast line,Vector line,Regional,WIO,https://maspawio.net/layers/geonode%3Awio_highresolution_coast_line,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=7b4c42a8-07ed-11e8-82a4-0a735f7a740c
Northern Mozambique 90 meter DEM,Raster data,Sub-Regional,NMC,https://maspawio.net/layers/geonode%3A_90m_dem,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=5b385402-e0ab-11e7-842d-0a735f7a740c
Quiwia Lalane habitat classification,Vector polygon,Sub-national,Mozambique_Quwia Lalane,https://maspawio.net/layers/geonode%3Aquiwia_lalane_habitat_classification,https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=032a1d26-d4e5-11e7-9524-0a735f7a740c
