count,wat,orgname,domain
8299,https://catalogue.odis.org/view/2993,EurOcean Vessels,https://infohub.eurocean.net/
8299,https://catalogue.odis.org/view/2993,EurOcean Organizations,https://infohub.eurocean.net/
8299,https://catalogue.odis.org/view/2993,EurOcean Projects,https://infohub.eurocean.net/
4726,https://oceaninfohub.org/.well-known/org/edmo,European Directory of Marine Organisations (EDMO) SeaDataNet,https://edmo.seadatanet.org
4693,https://www.re3data.org/repository/seadatanet/edmo,EDMO SeaDataNet,https://edmo.seadatanet.org
4580,https://catalogue.odis.org/view/343,Ocean Biodiversity Information System,https://obis.org
4424,https://www.re3data.org/repository/obis,Ocean Biodiversity Information System,https://obis.org
3429,https://oceaninfohub.org/.well-known/org/edmerp,European Directory of Marine Environmental Research Projects (EDMERP) SeaDataNet,https://edmerp.seadatanet.org
3422,https://www.re3data.org/repository/seadatanet/edmerp,EDMERP SeaDataNet,https://edmerp.seadatanet.org
1180,https://catalogue.odis.org/view/364,European Marine Observation and Data Network catalogue,https://emodnet.ec.europa.eu/
498,https://oceaninfohub.org/.well-known/org/cioos,CIOOS,https://cioos.ca/
451,https://catalogue.odis.org/view/1972,Marine Training EU,https://marinetraining.eu/
444,https://www.re3data.org/repository/marinetraining,Marine Training EU,https://marinetraining.eu/
253,https://oceaninfohub.org/.well-known/org/africaioc,IOC Africa Data Portal,https://ioc-africa.org
1,http://hdl.handle.net/1834/41372,AquaDocs,https://aquadocs.org
1,http://example.org/invemar/documents,INVEMAR documents,http://portete.invemar.org.co/chm/api/oih/documents
1,http://example.org/invemar/experts,INVEMAR Experts,http://portete.invemar.org.co/chm/api/oih/expert
1,http://example.org/invemar/institution,INVEMAR institution,http://portete.invemar.org.co/chm/api/oih/institution
1,http://example.org/invemar/training,INVEMAR training,http://portete.invemar.org.co/chm/api/oih/training
1,http://example.org/invemar/vessel,INVEMAR vessel,http://portete.invemar.org.co/chm/api/oih/vessel
1,http://example.org/invemar/obps,Ocean Best Practices,https://oih.oceanbestpractices.org
1,https://oceaninfohub.org/.well-known/org/invemardocuments,CHM LAC - Documents,http://portete.invemar.org.co
1,https://oceaninfohub.org/.well-known/org/invemartraining,CHM LAC - Training,http://portete.invemar.org.co
1,https://oceaninfohub.org/.well-known/org/benguelacc,Benguela Current Convention (BCC) GeoData Portal,https://www.benguelacc.org/
1,https://catalogue.odis.org/view/616,Caribbean Marine Atlas catalogue,https://www.caribbeanmarineatlas.net/
1,https://oceaninfohub.org/.well-known/org/invemarinstitutions,CHM LAC - Institutions,http://portete.invemar.org.co
1,https://oceaninfohub.org/.well-known/org/invemarexpert,CHM LAC - Experts,http://portete.invemar.org.co
1,https://catalogue.odis.org/view/351,MASPAWIO - Marine Spatial Atlas for the Western Indian Ocean,https://cordioea.net/
