Resource description,Selected spatial data layers sourced from CORDIO Marine Spatial Data for the Western Indian Ocean-Archive. ,,,
Data Source-site link,https://maspawio.net/,,,
Date:,7-Aug-21,,,
Use,Linking to Ocean InfoHub portal,,,
Shared by:,James Mbugua CORDIO GIS and IT Manager jmbugua@cordioea.net,,,
Shared with,Douglas Fils,,,

XML example Link (Dublin),,,,
https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=3046b5fc-18e0-11eb-894f-0a735f7a740c,,,,

XML example Link,,,,
https://maspawio.net/catalogue/csw?outputschema=http%3A%2F%2Fwww.opengis.net%2Fcat%2Fcsw%2F2.0.2&service=CSW&request=GetRecordById&version=2.0.2&elementsetname=full&id=d1435a3c-238d-11e8-b48f-0a735f7a740c,,,,
 
 
Resource name,Data type,Coverage,Designation,Link address
locally managed marine areas Kenya,Point vector,National,Kenya,https://maspawio.net/layers/geonode%3Alocally_managed_marine_areas_kenya
Sea Level Rise vulnearbility,Raster data,Sub-national,Kenya-Mombasa drfils@gmail.com,https://maspawio.net/layers/geonode%3Akwale_kilifi_mombasa_slr_vulnearbility
kwale Marine depth contours,Vector lines,Sub-national,Kenya-Kwale,https://maspawio.net/layers/geonode%3Akwale_marine_depth_contours
kwale bathymetry,Raster data,Sub-national,Kenya-Kwale,https://maspawio.net/layers/geonode%3Akwale_bathymetry
Fishing intensity Kipini,Raster data,Sub-national,Kenya-Tana River,https://maspawio.net/layers/geonode%3Akipini_fishing_intensity
Fishing intensity Gazi,Raster data,Sub-national,Kenya-Kwale,https://maspawio.net/layers/geonode%3Agazi_fishing_intensity
Fishing intensity Vanga Jimbo,Raster data,Sub-national,Kenya-Kwale,https://maspawio.net/layers/geonode%3Avanga_jimbo__fishing_intensity
Kenya continental shelf,Vector polygon,National,Kenya,https://maspawio.net/layers/geonode%3Akenya_continental_shelf_2019
Digital Elevation Model,Raster data,Sub-national,Kenya-Kwale,https://maspawio.net/layers/geonode%3Aekla_dem_kwale_kilifi_mombasa
WIO Urban areas 2000,Vector polygon,Regional,WIO,https://maspawio.net/layers/geonode%3Awio_urban_areas_2000
WIO Urban areas 2005,Vector polygon,Regional,WIO,https://maspawio.net/layers/geonode%3Awio_urban_areas_2005
WIO Urban areas 2010,Vector polygon,Regional,WIO,https://maspawio.net/layers/geonode%3Awio_urban_areas_2010
WIO Urban areas 2015,Vector polygon,Regional,WIO,https://maspawio.net/layers/geonode%3Awio_urban_areas_2015
WIO Urban areas 1995,Vector polygon,Regional,WIO,https://maspawio.net/layers/geonode%3Awio_urban_areas_1995
WIO high resolution coast line,Vector line,Regional,WIO,https://maspawio.net/layers/geonode%3Awio_highresolution_coast_line
Northern Mozambique 90 meter DEM,Raster data,Sub-Regional,NMC,https://maspawio.net/layers/geonode%3A_90m_dem
Quiwia Lalane habitat classification,Vector polygon,Sub-national,Mozambique_Quwia Lalane,https://maspawio.net/layers/geonode%3Aquiwia_lalane_habitat_classification
The Diversity and Bio-geography of Western Indian Ocean Reef Building Corals,Raster data,Regional,WIO,https://maspawio.net/layers/geonode%3Adiversity_and_biogeography_of_western_indian_ocean_reef_building_corals
Pate Kiunga Coral species richness 2015,Vector points,Sub-national,Kenya-Pate Kiunga,https://maspawio.net/layers/geonode%3Alamu_kliunga_2015_coral_species
Ocean Bathymetry,Raster data,Regional,WIO,https://maspawio.net/layers/geonode%3Agebco2014_27_4__43_6_80_2_26_8_30sec_geotiff
WIO Potential Marine Heritage Sites,Vector polygon,Sub-Regional,Mozambique Channel,https://maspawio.net/layers/geonode%3Awio_potential_marine_heritage
