place,count
Iran,5391
Argentina,3648
Nigeria,3306
Kenya,2700
Florida,2106
India,2062
Cuba,2006
Canada,1521
California,1351
Venezuela,1284
Philippines,1274
Australia,1174
Bangladesh,1091
Colombia,1067
British Columbia,1006
Bushehr,957
Alaska,900
Ecuador,877
A.A.,791
dans le,779
Barkley Canyon Mid,728
Thailand,706
Buenos Aires,695
Kiribati,672
Pakistan,666
Solomon Islands,665
Panamá,657
Vanuatu,644
Hormozgan Province,641
Fiji,625
Halifax,616
Malaysia,599
Khuzestan,592
Hormozgan,591
Indonesia,563
Turkey,561
Santa Marta,552
Lake Victoria,544
Vietnam,543
Japan,531
Mazandaran,531
USA,530
Tonga,496
Mexico,481
Karachi,468
Sri Lanka,462
Patagonia,456
de las principales,455
Tehran,449
Tanzania,448
Labrador,440
A.R.,432
Brazil,424
Paraná,423
Sistan,422
Guilan Province,419
kilka,418
Seychelles,410
Egypt,406
Bombay,390
México,370
Palau,367
año,365
U.S.,363
Uganda,354
Kilka,354
planície de inundação,353
Mazandaran Province,343
Oman,342
las,342
Nordsee,341
El,331
Puerto Rico,330
Postville,329
Cartwright Junction,329
los,323
Khouzestan Province,316
Khouzestan,313
Chile,312
Belgium,309
Costa Rica,308
Guilan province,303
Newfoundland,301
Guayaquil,301
Sarawak,300
New Zealand,299
Bushehr Province,295
Cambodia,291
Texas,291
Brunei Darussalam,290
Samoa,287
der,263
Los,258
Sh,252
Barkley Canyon Mid-West,252
Chabahar,252
China,250
Mumbai,250
Gazi Bay,244
France,244
Golestan Province,244
Valenciennes,240
Abadan,239
Mozambique,238
der Deutschen Bucht,235
Panama,235
agua,233
Lagos,227
Netherlands,226
Mombasa,224
la,223
Características,222
Barkley Canyon,222
Ghana,220
Georgia,217
el área,214
Cochin,213
Zn,207
Myanmar,206
UK,205
Scotland,202
Niger State,200
Holothuria,200
United States,199
Lake Chad,199
New Brunswick,197
Uruguay,197
Aires,197
Cyprinidae,192
Washington,190
Maryland,184
Atlantique,184
Tunisie,181
Kerala,181
Quebec,178
England,173
Austria,173
US,173
Bloch,170
Sabah,169
rainbow trout,169
Moradi,167
Ketchikan,166
Ogun State,166
Zanjan,164
H.A.,164
Khuzestan Province,164
Buenos,159
Papua New Guinea,157
Las,157
J.,156
Lagos State,156
Hawaii,154
Linnaeus,154
d'Alaska,152
Lake Kariba,151
South Africa,151
Paris,150
Cook Islands,149
Tunisia,149
Magdalen Islands,149
Alexandria,147
Hamburg,146
Mar Chiquita,145
Bangkok,144
Mazandaran province,144
the United States,144
Sportfish,142
IDARTM1,142
Santa Cruz,142
Kakoolaki,141
Portugal,139
Boone,139
Chubut,138
Pallas,138
R.A.,138
San Jorge,137
L.A.,137
Kish Island,136
O.A.,135
Savari,134
Carolina,133
West Africa,132
Ceylon,132
Karnataka,130
Sweden,129
Lake Kainji,129
Kelaniya,128
LA,128
Provincia de Buenos Aires,128
Fiji Islands,127
Estado,126
New Caledonia,125
de las,125
Taiwan,124
Mar del Plata,124
del agua,123
Singapore,121
Jamaica,120
Integrado Cabo,120
East Africa,120
Norway,119
kutum,119
Barkley Canyon Mid-East,116
Guilan,116
argentina,115
N.M.,115
Peru,115
Niger Delta,115
Padina,114
