name,propername,dates
obps,Ocean Best Practices,2021-01-26
obis,Ocean Biodiversity Information System,2021-02-26
aquadocs,AquaDocs,2021-02-26
marinetraining,Marine Training EU,2021-05-26
edmerp,EDMERP SeaDataNet,2021-07-26
edmo,EDMO SeaDataNet,2021-07-26
oceanexperts,OceanExpert UNESCO/IOC Project Office for IODE,2021-08-26
invemar,INVEMAR,2022-01-26
eurocean,EurOcean,2022-03-26
maspawio,MASPAWIO: Marine Spatial Atlas for the Western Indian Ocean,2022-03-30
inanodc,Indonesia National Oceanic Data Center,2022-04-05
benguelacc,Benguela Current Convention (BCC) GeoData Portal,2022-04-13
caribbeanmarineatlas,Caribbean Marine Atlas catalogue,2022-04-13
pogo,Oceanscape project,2022-05-18
cioos,CIOOS Atlantic,2022-06-04
emodnet,European Marine Observation and Data Network catalogue,2022-07-12
