,index,name,orgname,code,description,url,type,count,wat,domain
0,0,africaioc,IOC Africa Data Portal,0.0,440 : africaioc VALID https://ioc-africa.org/sitemap.xml  with 5 sitemap URL(s),https://ioc-africa.org/sitemap.xml,sitemap,253.0,https://oceaninfohub.org/.well-known/org/africaioc,https://ioc-africa.org
1,1,aquadocs,AquaDocs,0.0,aquadocs 	 https://oih.aquadocs.org/aquadocs.json Sitegraph URL code is 200 ,https://oih.aquadocs.org/aquadocs.json,sitegraph,1.0,http://hdl.handle.net/1834/41372,https://aquadocs.org
2,2,benguelacc,Benguela Current Convention (BCC) GeoData Portal,0.0,benguelacc 	 https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-benguelacc/benguelacc-simple-graph.json Sitegraph URL code is 200 ,https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-benguelacc/benguelacc-simple-graph.json,sitegraph,1.0,https://oceaninfohub.org/.well-known/org/benguelacc,https://www.benguelacc.org/
3,3,caribbeanmarineatlas,Caribbean Marine Atlas catalogue,0.0,caribbeanmarineatlas 	 https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-caribbeanmarineatlas/caribbeanmarineatlas-simple-graph.json Sitegraph URL code is 200 ,https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-caribbeanmarineatlas/caribbeanmarineatlas-simple-graph.json,sitegraph,1.0,https://catalogue.odis.org/view/616,https://www.caribbeanmarineatlas.net/
4,4,cioos,CIOOS,0.0,507 : cioos VALID https://catalogue.cioos.ca/sitemap/sitemap.xml  with 1 sitemap URL(s),https://catalogue.cioos.ca/sitemap/sitemap.xml,sitemap,498.0,https://oceaninfohub.org/.well-known/org/cioos,https://cioos.ca/
5,5,edmerp,European Directory of Marine Environmental Research Projects (EDMERP) SeaDataNet,0.0,3430 : edmerp VALID https://edmerp.seadatanet.org/sitemap.xml  with 1 sitemap URL(s),https://edmerp.seadatanet.org/sitemap.xml,sitemap,3429.0,https://oceaninfohub.org/.well-known/org/edmerp,https://edmerp.seadatanet.org
6,6,edmo,European Directory of Marine Organisations (EDMO) SeaDataNet,0.0,4726 : edmo VALID https://edmo.seadatanet.org/sitemap.xml  with 1 sitemap URL(s),https://edmo.seadatanet.org/sitemap.xml,sitemap,4726.0,https://oceaninfohub.org/.well-known/org/edmo,https://edmo.seadatanet.org
7,7,euroceanevents,EurOcean Events,1.0,ERROR euroceanevents : https://www.oceanexpert.org/assets/sitemaps/sitemapEvents.xml reading sitemap XML,https://www.oceanexpert.org/assets/sitemaps/sitemapEvents.xml,sitemap,,,
8,8,euroceanexperts,EurOcean Experts,1.0,ERROR euroceanexperts : https://www.oceanexpert.org/assets/sitemaps/sitemapExperts.xml reading sitemap XML,https://www.oceanexpert.org/assets/sitemaps/sitemapExperts.xml,sitemap,,,
9,9,euroceaninstitutions,EurOcean Institutions,1.0,ERROR euroceaninstitutions : https://www.oceanexpert.org/assets/sitemaps/sitemapInstitutions.xml reading sitemap XML,https://www.oceanexpert.org/assets/sitemaps/sitemapInstitutions.xml,sitemap,,,
10,10,euroceanorgs,EurOcean Organizations,0.0,7651 : euroceanorgs VALID https://infohub.eurocean.net/sitemap/organizations  with 1 sitemap URL(s),https://infohub.eurocean.net/sitemap/organizations,sitemap,8373.0,https://catalogue.odis.org/view/2993,https://infohub.eurocean.net/
11,11,euroceanprojects,EurOcean Projects,0.0,635 : euroceanprojects VALID https://infohub.eurocean.net/sitemap/projects  with 1 sitemap URL(s),https://infohub.eurocean.net/sitemap/projects,sitemap,8373.0,https://catalogue.odis.org/view/2993,https://infohub.eurocean.net/
12,12,euroceantraining,EurOcean Training,1.0,ERROR euroceantraining : https://www.oceanexpert.org/assets/sitemaps/sitemapTraining.xml reading sitemap XML,https://www.oceanexpert.org/assets/sitemaps/sitemapTraining.xml,sitemap,,,
13,13,euroceanvessels,EurOcean Vessels,0.0,87 : euroceanvessels VALID https://infohub.eurocean.net/sitemap/vessels  with 1 sitemap URL(s),https://infohub.eurocean.net/sitemap/vessels,sitemap,8373.0,https://catalogue.odis.org/view/2993,https://infohub.eurocean.net/
14,14,emodnet,European Marine Observation and Data Network catalogue,0.0,2174 : emodnet VALID https://emodnet.ec.europa.eu/geonetwork/srv/eng/portal.sitemap  with 1 sitemap URL(s),https://emodnet.ec.europa.eu/geonetwork/srv/eng/portal.sitemap,sitemap,1183.0,https://catalogue.odis.org/view/364,https://emodnet.ec.europa.eu/
15,15,inanodc,Indonesia National Oceanic Data Center,0.0,33 : inanodc VALID https://geonode.nodc.id/sitemap.xml  with 1 sitemap URL(s),https://geonode.nodc.id/sitemap.xml,sitemap,33.0,https://catalogue.odis.org/view/3246,https://nodc.id
16,16,invemardocuments,CHM LAC - Documents,0.0,invemardocuments 	 http://portete.invemar.org.co/chm/api/oih/documents?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/documents?format=json,sitegraph,1.0,https://oceaninfohub.org/.well-known/org/invemardocuments,http://portete.invemar.org.co
17,17,invemarexperts,CHM LAC - Experts,0.0,invemarexperts 	 http://portete.invemar.org.co/chm/api/oih/expert?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/expert?format=json,sitegraph,1.0,https://oceaninfohub.org/.well-known/org/invemarexpert,http://portete.invemar.org.co
18,18,invemarinstitutions,CHM LAC - Institutions,0.0,invemarinstitutions 	 http://portete.invemar.org.co/chm/api/oih/institution?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/institution?format=json,sitegraph,1.0,https://oceaninfohub.org/.well-known/org/invemarinstitutions,http://portete.invemar.org.co
19,19,invemartraining,CHM LAC - Training,0.0,invemartraining 	 http://portete.invemar.org.co/chm/api/oih/training?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/training?format=json,sitegraph,1.0,https://oceaninfohub.org/.well-known/org/invemartraining,http://portete.invemar.org.co
20,20,invemarvessels,CHM LAC - Vessels,0.0,invemarvessels 	 http://portete.invemar.org.co/chm/api/oih/vessel?format=json Sitegraph URL code is 405 ,http://portete.invemar.org.co/chm/api/oih/vessel?format=json,sitegraph,1.0,https://oceaninfohub.org/.well-known/org/invemarvessels,http://portete.invemar.org.co
21,21,marinetraining,Marine Training EU,0.0,658 : marinetraining VALID https://www.marinetraining.eu/sitemap.xml  with 1 sitemap URL(s),https://www.marinetraining.eu/sitemap.xml,sitemap,451.0,https://catalogue.odis.org/view/1972,https://marinetraining.eu/
22,22,marinetraining,Marine Training EU,0.0,658 : marinetraining VALID https://www.marinetraining.eu/sitemap.xml  with 1 sitemap URL(s),https://www.marinetraining.eu/sitemap.xml,sitemap,444.0,https://www.re3data.org/repository/marinetraining,https://marinetraining.eu/
23,23,maspawio,MASPAWIO - Marine Spatial Atlas for the Western Indian Ocean,0.0,maspawio 	 https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-maspawio/maspawio-simple-graph.json Sitegraph URL code is 200 ,https://raw.githubusercontent.com/iodepo/odis-arch/schema-dev-jm/code/notebooks/Exploration/data-maspawio/maspawio-simple-graph.json,sitegraph,1.0,https://catalogue.odis.org/view/351,https://cordioea.net/
24,24,obis,Ocean Biodiversity Information System,0.0,4636 : obis VALID https://obis.org/sitemap_datasets.xml  with 1 sitemap URL(s),https://obis.org/sitemap_datasets.xml,sitemap,4580.0,https://catalogue.odis.org/view/343,https://obis.org
25,25,obis,Ocean Biodiversity Information System,0.0,4636 : obis VALID https://obis.org/sitemap_datasets.xml  with 1 sitemap URL(s),https://obis.org/sitemap_datasets.xml,sitemap,4424.0,https://www.re3data.org/repository/obis,https://obis.org
