s,type
hhttps://orcid.org/0000-0002-2863-2283,https://schema.org/PropertyValue
hhttps://orcid.org/0000-0002-3518-8168,https://schema.org/PropertyValue
hhttps://orcid.org/0000-0003-4998-0188,https://schema.org/PropertyValue
http://0002-0539-1245,https://schema.org/PropertyValue
http://ckan.onc.uvic.ca,http://schema.org/DataCatalog
http://doi.org/10.15468/mpqvtt,https://schema.org/PropertyValue
http://doi.org/10.15468/syisbx,https://schema.org/PropertyValue
http://doi.org/10.15468/tm7whu,https://schema.org/PropertyValue
http://doi.org/10.15472/0suz5a,https://schema.org/PropertyValue
http://doi.org/10.15472/d2jusp,https://schema.org/PropertyValue
http://doi.org/10.15472/dcasmw,https://schema.org/PropertyValue
http://doi.org/10.15472/fqestz,https://schema.org/PropertyValue
http://doi.org/10.15472/fzgoop,https://schema.org/PropertyValue
http://doi.org/10.15472/g13p5m,https://schema.org/PropertyValue
http://doi.org/10.15472/gdblef,https://schema.org/PropertyValue
http://doi.org/10.15472/glepal,https://schema.org/PropertyValue
http://doi.org/10.15472/hmpczk,https://schema.org/PropertyValue
http://doi.org/10.15472/hna7kq,https://schema.org/PropertyValue
http://doi.org/10.15472/j8iyvt,https://schema.org/PropertyValue
http://doi.org/10.15472/kfevgp,https://schema.org/PropertyValue
http://doi.org/10.15472/kr6lqa,https://schema.org/PropertyValue
http://doi.org/10.15472/lbjyx0,https://schema.org/PropertyValue
http://doi.org/10.15472/lrizsk,https://schema.org/PropertyValue
http://doi.org/10.15472/lz7nnc,https://schema.org/PropertyValue
http://doi.org/10.15472/m5b3m4,https://schema.org/PropertyValue
http://doi.org/10.15472/nbpwtj,https://schema.org/PropertyValue
http://doi.org/10.15472/ndt8or,https://schema.org/PropertyValue
http://doi.org/10.15472/ohqepf,https://schema.org/PropertyValue
http://doi.org/10.15472/oqseof,https://schema.org/PropertyValue
http://doi.org/10.15472/p1dq8u,https://schema.org/PropertyValue
http://doi.org/10.15472/pqjrec,https://schema.org/PropertyValue
http://doi.org/10.15472/pya8vr,https://schema.org/PropertyValue
http://doi.org/10.15472/satm8b,https://schema.org/PropertyValue
http://doi.org/10.15472/srius3,https://schema.org/PropertyValue
http://doi.org/10.15472/tqtsjp,https://schema.org/PropertyValue
http://doi.org/10.15472/u87mcd,https://schema.org/PropertyValue
http://doi.org/10.15472/ugkqih,https://schema.org/PropertyValue
http://doi.org/10.15472/ygq6i9,https://schema.org/PropertyValue
http://doi.org/10.25607/0wdrmq,https://schema.org/PropertyValue
http://doi.org/10.25607/2hk8ho,https://schema.org/PropertyValue
http://doi.org/10.25607/4hyxcb,https://schema.org/PropertyValue
http://doi.org/10.25607/4vgwcb,https://schema.org/PropertyValue
http://doi.org/10.25607/6epl57,https://schema.org/PropertyValue
http://doi.org/10.25607/6uv3nw,https://schema.org/PropertyValue
http://doi.org/10.25607/7u22zf,https://schema.org/PropertyValue
http://doi.org/10.25607/8ozaqr,https://schema.org/PropertyValue
http://doi.org/10.25607/a3xbkd,https://schema.org/PropertyValue
http://doi.org/10.25607/b04qsc,https://schema.org/PropertyValue
http://doi.org/10.25607/bmzvn3,https://schema.org/PropertyValue
http://doi.org/10.25607/cfefkr,https://schema.org/PropertyValue
http://doi.org/10.25607/cvamrq,https://schema.org/PropertyValue
http://doi.org/10.25607/d1g7x3,https://schema.org/PropertyValue
http://doi.org/10.25607/dppswx,https://schema.org/PropertyValue
http://doi.org/10.25607/dyraip,https://schema.org/PropertyValue
http://doi.org/10.25607/f0hyzm,https://schema.org/PropertyValue
http://doi.org/10.25607/fjqpei,https://schema.org/PropertyValue
http://doi.org/10.25607/fkn6ys,https://schema.org/PropertyValue
http://doi.org/10.25607/fukojz,https://schema.org/PropertyValue
http://doi.org/10.25607/g8ipdv,https://schema.org/PropertyValue
http://doi.org/10.25607/gvyjeh,https://schema.org/PropertyValue
http://doi.org/10.25607/h6grbv,https://schema.org/PropertyValue
http://doi.org/10.25607/iiwsw7,https://schema.org/PropertyValue
http://doi.org/10.25607/jicoxb,https://schema.org/PropertyValue
http://doi.org/10.25607/jzojoi,https://schema.org/PropertyValue
http://doi.org/10.25607/kc3p1n,https://schema.org/PropertyValue
http://doi.org/10.25607/kl1hre,https://schema.org/PropertyValue
http://doi.org/10.25607/l2cbpk,https://schema.org/PropertyValue
http://doi.org/10.25607/mwe0ga,https://schema.org/PropertyValue
http://doi.org/10.25607/p8aoka,https://schema.org/PropertyValue
http://doi.org/10.25607/rov4or,https://schema.org/PropertyValue
http://doi.org/10.25607/rtgvpa,https://schema.org/PropertyValue
http://doi.org/10.25607/sjzztx,https://schema.org/PropertyValue
http://doi.org/10.25607/smlioh,https://schema.org/PropertyValue
http://doi.org/10.25607/smz2be,https://schema.org/PropertyValue
http://doi.org/10.25607/t4ktff,https://schema.org/PropertyValue
http://doi.org/10.25607/tagwkb,https://schema.org/PropertyValue
http://doi.org/10.25607/tlcl7f,https://schema.org/PropertyValue
http://doi.org/10.25607/uwmmo0,https://schema.org/PropertyValue
http://doi.org/10.25607/uyrgpf,https://schema.org/PropertyValue
http://doi.org/10.25607/vdaaq9,https://schema.org/PropertyValue
http://doi.org/10.25607/vucmt6,https://schema.org/PropertyValue
http://doi.org/10.25607/vv7aof,https://schema.org/PropertyValue
http://doi.org/10.25607/vy6gim,https://schema.org/PropertyValue
http://doi.org/10.25607/xbosu1,https://schema.org/PropertyValue
http://doi.org/10.25607/xjo4dj,https://schema.org/PropertyValue
http://doi.org/10.25607/yrfths,https://schema.org/PropertyValue
http://doi.org/10.25607/yrgfco,https://schema.org/PropertyValue
http://doi.org/10.25607/zp0vwl,https://schema.org/PropertyValue
http://dx.doi.org/10.1016/j.biocon.2013.07.004,https://schema.org/PropertyValue
http://dx.doi.org/10.1016/j.dsr2.2007.07.002,https://schema.org/PropertyValue
http://dx.doi.org/10.1098/rsos.170694,https://schema.org/PropertyValue
http://dx.doi.org/10.1098/rsos.200670,https://schema.org/PropertyValue
http://dx.doi.org/10.1098/rspb.2020.1341,https://schema.org/PropertyValue
http://dx.doi.org/10.20350/digitalCSIC/8575,https://schema.org/PropertyValue
http://dx.doi.org/10.21966/1.566666,https://schema.org/PropertyValue
http://lattes.cnpq.br/2488000948975659,https://schema.org/PropertyValue
http://orcid.org/0000-0001-5185-9024,https://schema.org/PropertyValue
http://orcid.org/0000-0001-5707-6338,https://schema.org/PropertyValue
http://orcid.org/0000-0001-6780-9312,https://schema.org/PropertyValue
http://orcid.org/0000-0001-7490-3147,https://schema.org/PropertyValue
http://orcid.org/0000-0001-8502-341X,https://schema.org/PropertyValue
http://orcid.org/0000-0002-1282-300X,https://schema.org/PropertyValue
http://orcid.org/0000-0002-2652-0990,https://schema.org/PropertyValue
http://orcid.org/0000-0002-2712-501X,https://schema.org/PropertyValue
http://orcid.org/0000-0002-3063-4448,https://schema.org/PropertyValue
http://orcid.org/0000-0002-4771-5295,https://schema.org/PropertyValue
http://orcid.org/0000-0002-5038-4191,https://schema.org/PropertyValue
http://orcid.org/0000-0002-5114-953X,https://schema.org/PropertyValue
http://orcid.org/0000-0002-6038-6588,https://schema.org/PropertyValue
http://orcid.org/0000-0002-6441-0127,https://schema.org/PropertyValue
http://orcid.org/0000-0002-7468-5220,https://schema.org/PropertyValue
http://orcid.org/0000-0002-8007-0898,https://schema.org/PropertyValue
http://orcid.org/0000-0002-8597-5506,https://schema.org/PropertyValue
http://orcid.org/0000-0002-8797-4937,https://schema.org/PropertyValue
http://orcid.org/0000-0003-0907-7453,https://schema.org/PropertyValue
http://orcid.org/0000-0003-0989-2829,https://schema.org/PropertyValue
http://orcid.org/0000-0003-1868-479X,https://schema.org/PropertyValue
http://orcid.org/0000-0003-1966-0415,https://schema.org/PropertyValue
http://orcid.org/0000-0003-2585-6131,https://schema.org/PropertyValue
http://orcid.org/0000-0003-3333-7091,https://schema.org/PropertyValue
http://orcid.org/0000-0003-4678-9759,https://schema.org/PropertyValue
