source,type,target,sType,tType
https://catalogue.cioos.ca/dataset/37a33ad6-8228-4343-b169-b62e215f6ae9.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/37a33ad6-8228-4343-b169-b62e215f6ae9.jsonld,creator,https://gleaner.io/xid/genid/cggj3e3k59mc73f1kfa0,Dataset,Organization
https://catalogue.cioos.ca/dataset/37a33ad6-8228-4343-b169-b62e215f6ae9.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/b3c3c4cb-7cf1-4bf8-a679-8aa98eb8988d.jsonld,publisher,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,Dataset,Organization
https://catalogue.cioos.ca/dataset/b3c3c4cb-7cf1-4bf8-a679-8aa98eb8988d.jsonld,creator,https://gleaner.io/xid/genid/cggj43rk59mc73f1np80,Dataset,Organization
https://catalogue.cioos.ca/dataset/b3c3c4cb-7cf1-4bf8-a679-8aa98eb8988d.jsonld,provider,https://ogsl.ca,Dataset,Organization
https://iys.hakai.org/dataset/ca-cioos_ab79f57d-186a-48b4-9e6b-96385e8f83af,publisher,https://gleaner.io/xid/genid/cggj3ubk59mc73f1mss0,Dataset,Organization
https://iys.hakai.org/dataset/ca-cioos_ab79f57d-186a-48b4-9e6b-96385e8f83af,creator,https://gleaner.io/xid/genid/cggj3ubk59mc73f1msrg,Dataset,Person
https://iys.hakai.org/dataset/ca-cioos_ab79f57d-186a-48b4-9e6b-96385e8f83af,creator,https://gleaner.io/xid/genid/cggj3ubk59mc73f1msu0,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_ad2b8ba2-23af-492b-aa33-3750bf4e4ee0.jsonld,publisher,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,Dataset,Organization
https://catalogue.cioos.ca/dataset/ca-cioos_ad2b8ba2-23af-492b-aa33-3750bf4e4ee0.jsonld,creator,https://gleaner.io/xid/genid/cggj33bk59mc73f1imcg,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_ad2b8ba2-23af-492b-aa33-3750bf4e4ee0.jsonld,creator,https://gleaner.io/xid/genid/cggj33bk59mc73f1imd0,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_ad2b8ba2-23af-492b-aa33-3750bf4e4ee0.jsonld,provider,https://ogsl.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/6c17dc9b-7877-4d28-aed9-72bdd8406fe6.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/6c17dc9b-7877-4d28-aed9-72bdd8406fe6.jsonld,creator,https://gleaner.io/xid/genid/cggj3ubk59mc73f1mtd0,Dataset,Organization
