Id,SDOType,Label
https://catalogue.cioos.ca/dataset/37a33ad6-8228-4343-b169-b62e215f6ae9.jsonld,Dataset,Label 0
https://catalogue.cioos.ca/dataset/37a33ad6-8228-4343-b169-b62e215f6ae9.jsonld,Dataset,Label 1
https://catalogue.cioos.ca/dataset/37a33ad6-8228-4343-b169-b62e215f6ae9.jsonld,Dataset,Label 2
https://catalogue.cioos.ca/dataset/b3c3c4cb-7cf1-4bf8-a679-8aa98eb8988d.jsonld,Dataset,Label 3
https://catalogue.cioos.ca/dataset/b3c3c4cb-7cf1-4bf8-a679-8aa98eb8988d.jsonld,Dataset,Label 4
https://catalogue.cioos.ca/dataset/b3c3c4cb-7cf1-4bf8-a679-8aa98eb8988d.jsonld,Dataset,Label 5
https://iys.hakai.org/dataset/ca-cioos_ab79f57d-186a-48b4-9e6b-96385e8f83af,Dataset,Label 6
https://iys.hakai.org/dataset/ca-cioos_ab79f57d-186a-48b4-9e6b-96385e8f83af,Dataset,Label 7
https://iys.hakai.org/dataset/ca-cioos_ab79f57d-186a-48b4-9e6b-96385e8f83af,Dataset,Label 8
https://catalogue.cioos.ca/dataset/ca-cioos_ad2b8ba2-23af-492b-aa33-3750bf4e4ee0.jsonld,Dataset,Label 9
https://catalogue.cioos.ca/dataset/ca-cioos_ad2b8ba2-23af-492b-aa33-3750bf4e4ee0.jsonld,Dataset,Label 10
https://catalogue.cioos.ca/dataset/ca-cioos_ad2b8ba2-23af-492b-aa33-3750bf4e4ee0.jsonld,Dataset,Label 11
https://catalogue.cioos.ca/dataset/ca-cioos_ad2b8ba2-23af-492b-aa33-3750bf4e4ee0.jsonld,Dataset,Label 12
https://catalogue.cioos.ca/dataset/6c17dc9b-7877-4d28-aed9-72bdd8406fe6.jsonld,Dataset,Label 13
https://catalogue.cioos.ca/dataset/6c17dc9b-7877-4d28-aed9-72bdd8406fe6.jsonld,Dataset,Label 14
https://catalogue.cioos.ca/dataset/6c17dc9b-7877-4d28-aed9-72bdd8406fe6.jsonld,Dataset,Label 15
https://catalogue.cioos.ca/dataset/3215c079-e5f0-48a3-9d65-ef5268f94f6c.jsonld,Dataset,Label 16
https://catalogue.cioos.ca/dataset/3215c079-e5f0-48a3-9d65-ef5268f94f6c.jsonld,Dataset,Label 17
https://catalogue.cioos.ca/dataset/3215c079-e5f0-48a3-9d65-ef5268f94f6c.jsonld,Dataset,Label 18
https://catalogue.cioos.ca/dataset/ca-cioos_86737fdb-03a5-4047-886a-8ac1ef0bc34b.jsonld,Dataset,Label 19
https://catalogue.cioos.ca/dataset/ca-cioos_86737fdb-03a5-4047-886a-8ac1ef0bc34b.jsonld,Dataset,Label 20
https://catalogue.cioos.ca/dataset/ca-cioos_86737fdb-03a5-4047-886a-8ac1ef0bc34b.jsonld,Dataset,Label 21
https://catalogue.cioos.ca/dataset/ca-cioos_86737fdb-03a5-4047-886a-8ac1ef0bc34b.jsonld,Dataset,Label 22
https://catalogue.cioos.ca/dataset/8ce35948-0ca7-474d-b813-e2bfe95c46dc.jsonld,Dataset,Label 23
https://catalogue.cioos.ca/dataset/8ce35948-0ca7-474d-b813-e2bfe95c46dc.jsonld,Dataset,Label 24
https://catalogue.cioos.ca/dataset/8ce35948-0ca7-474d-b813-e2bfe95c46dc.jsonld,Dataset,Label 25
https://catalogue.cioosatlantic.ca/dataset/273bbdf4-1e1d-4149-8b9e-5b125bb22987,Dataset,Label 26
https://catalogue.cioosatlantic.ca/dataset/273bbdf4-1e1d-4149-8b9e-5b125bb22987,Dataset,Label 27
https://catalogue.cioosatlantic.ca/dataset/273bbdf4-1e1d-4149-8b9e-5b125bb22987,Dataset,Label 28
https://catalogue.cioosatlantic.ca/dataset/273bbdf4-1e1d-4149-8b9e-5b125bb22987,Dataset,Label 29
https://catalogue.cioos.ca/dataset/fcf9555b-a295-4895-986f-c4d0c28bde4a.jsonld,Dataset,Label 30
https://catalogue.cioos.ca/dataset/fcf9555b-a295-4895-986f-c4d0c28bde4a.jsonld,Dataset,Label 31
https://catalogue.cioos.ca/dataset/fcf9555b-a295-4895-986f-c4d0c28bde4a.jsonld,Dataset,Label 32
https://iys.hakai.org/dataset/ca-cioos_382a8a4b-9b9f-41b7-a394-917353e0810e,Dataset,Label 33
https://iys.hakai.org/dataset/ca-cioos_382a8a4b-9b9f-41b7-a394-917353e0810e,Dataset,Label 34
https://iys.hakai.org/dataset/ca-cioos_382a8a4b-9b9f-41b7-a394-917353e0810e,Dataset,Label 35
https://catalogue.cioos.ca/dataset/b969d856-3341-4941-b854-b48382ea0175.jsonld,Dataset,Label 36
https://catalogue.cioos.ca/dataset/b969d856-3341-4941-b854-b48382ea0175.jsonld,Dataset,Label 37
https://catalogue.cioos.ca/dataset/b969d856-3341-4941-b854-b48382ea0175.jsonld,Dataset,Label 38
https://catalogue.cioos.ca/dataset/22077175-875c-4a5b-b221-2e2a2e41e2a0.jsonld,Dataset,Label 39
https://catalogue.cioos.ca/dataset/22077175-875c-4a5b-b221-2e2a2e41e2a0.jsonld,Dataset,Label 40
https://catalogue.cioos.ca/dataset/22077175-875c-4a5b-b221-2e2a2e41e2a0.jsonld,Dataset,Label 41
https://catalogue.cioos.ca/dataset/58eb75a0-937f-4ff1-a914-2336c0aed8a1.jsonld,Dataset,Label 42
https://catalogue.cioos.ca/dataset/58eb75a0-937f-4ff1-a914-2336c0aed8a1.jsonld,Dataset,Label 43
https://catalogue.cioos.ca/dataset/58eb75a0-937f-4ff1-a914-2336c0aed8a1.jsonld,Dataset,Label 44
https://catalogue.cioos.ca/dataset/0c6b6ba7-2fed-497d-bb35-9f8e181bf02c.jsonld,Dataset,Label 45
https://catalogue.cioos.ca/dataset/0c6b6ba7-2fed-497d-bb35-9f8e181bf02c.jsonld,Dataset,Label 46
https://catalogue.cioos.ca/dataset/0c6b6ba7-2fed-497d-bb35-9f8e181bf02c.jsonld,Dataset,Label 47
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,Dataset,Label 48
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,Dataset,Label 49
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,Dataset,Label 50
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,Dataset,Label 51
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,Dataset,Label 52
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,Dataset,Label 53
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,Dataset,Label 54
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,Dataset,Label 55
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,Dataset,Label 56
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,Dataset,Label 57
