name,propername,code,count,description,url,type
africaioc,IOC Africa Data Portal,0,352,VALID africaioc : https://ioc-africa.org/sitemap.xml with 5 sitemap URL(s),https://ioc-africa.org/sitemap.xml,sitemap
aquadocs,AquaDocs,0,0,aquadocs 	 https://oih.aquadocs.org/aquadocs.json Sitegraph URL code is 200 ,https://oih.aquadocs.org/aquadocs.json,sitegraph
bebop,Better Biomolecular Ocean Practices (BeBOP) as part of Ocean Biomolecular Observing Network (OBON),0,3,VALID bebop : https://raw.githubusercontent.com/BeBOP-OBON/odis-interface/main/sitemap.xml with 1 sitemap URL(s),https://raw.githubusercontent.com/BeBOP-OBON/odis-interface/main/sitemap.xml,sitemap
benguelacc,Benguela Current Convention (BCC) GeoData Portal,0,0,benguelacc 	 https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-benguelacc/benguelacc-simple-graph.json Sitegraph URL code is 200 ,https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-benguelacc/benguelacc-simple-graph.json,sitegraph
bmdc,Belgian Marine Data Centre (BMDC),0,230,VALID bmdc : https://metadata.naturalsciences.be/geonetwork/srv/api/sitemap with 1 sitemap URL(s),https://metadata.naturalsciences.be/geonetwork/srv/api/sitemap,sitemap
caribbeanmarineatlas,Caribbean Marine Atlas catalogue,0,0,caribbeanmarineatlas 	 https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-caribbeanmarineatlas/caribbeanmarineatlas-simple-graph.json Sitegraph URL code is 200 ,https://raw.githubusercontent.com/iodepo/odis-arch/master/collection/tempHosting/data-caribbeanmarineatlas/caribbeanmarineatlas-simple-graph.json,sitegraph
cioos,Canadian Integrated Ocean Observing System (CIOOS),0,2512,VALID cioos : https://catalogue.cioos.ca/sitemap/sitemap.xml with 1 sitemap URL(s),https://catalogue.cioos.ca/sitemap/sitemap.xml,sitemap
edmerp,European Directory of Marine Environmental Research Projects (EDMERP) SeaDataNet,0,3499,VALID edmerp : https://edmerp.seadatanet.org/sitemap.xml with 1 sitemap URL(s),https://edmerp.seadatanet.org/sitemap.xml,sitemap
edmo,European Directory of Marine Organisations (EDMO) SeaDataNet,0,4937,VALID edmo : https://edmo.seadatanet.org/sitemap.xml with 1 sitemap URL(s),https://edmo.seadatanet.org/sitemap.xml,sitemap
euroceanorgs,EurOcean Organizations,0,7651,VALID euroceanorgs : https://infohub.eurocean.net/sitemap/organizations with 1 sitemap URL(s),https://infohub.eurocean.net/sitemap/organizations,sitemap
